NAME,PRODUCT_SUB_TYPE,WRAPPER_GROUP,COUPON_TYPE,HAS_COUPON_BARRIER,HAS_COUPON,HAS_COUPON_MEMORY,CALL_TYPE,HAS_CALL_PREMIUM,HAS_STEP_UP_AUTO_CALL_HURDLE,HAS_STEP_DOWN_AUTO_CALL_HURDLE,HAS_UPSIDE_PARTICIPATION,HAS_MAXIMUM_RETURN,HAS_DIGITAL_RETURN,HAS_UPSIDE_ABOVE_DIGITAL_RETURN,HAS_UPSIDE_KNOCKOUT,HAS_ABSOLUTE_RETURN,HAS_GEARED_DOWNSIDE,DOWNSIDE_PROTECTION_TYPE,HAS_BEARISH,HAS_RAINBOW,HAS_LOOK_BACK,HAS_REBATE,MULTIPLE_FINAL_VALUATION_DATES_STYLE,HAS_FIXED_TO_FLOAT_TERMS,HAS_ONE_STAR
Floor Issuer-Callable Fixed Yield CD,PROTECTION,CD,FIXED,False,True,False,ISSUER_CALLABLE,False,False,False,False,False,False,False,False,False,False,FULL,False,False,False,,,False,False
Floor Issuer-Callable Uncapped Growth Note,PROTECTION,NOTE,,False,False,False,ISSUER_CALLABLE,True,False,False,True,False,False,False,False,False,False,FLOOR,False,False,False,,,False,False
Dual Directional Buffer Uncapped Growth Note,GROWTH,NOTE,NONE,False,False,False,,False,False,False,True,False,False,False,False,True,False,BUFFER,False,False,False,False,,False,False
Bearish Floor Auto-Callable Knock Out Note,PROTECTION,NOTE,,False,False,False,,False,False,False,False,False,False,False,True,False,False,FLOOR,True,False,False,False,,False,False
Geared Buffer Uncapped Growth Note,GROWTH,NOTE,,False,False,False,,False,False,False,True,False,False,False,False,False,True,BUFFER,False,False,False,False,,False,False
Barrier Auto-Callable Note,GROWTH,NOTE,,False,False,False,AUTO_CALLABLE,True,False,False,False,False,True,False,False,False,False,BARRIER,False,False,False,False,,False,False
Barrier Dual Directional Auto-Callable Uncapped Growth Note,GROWTH,NOTE,,False,False,False,AUTO_CALLABLE,True,False,False,True,False,False,False,False,True,False,BARRIER,True,False,False,,,False,False
Buffer Auto-Callable Note,GROWTH,NOTE,,False,False,False,AUTO_CALLABLE,True,False,False,False,False,False,False,False,False,False,BUFFER,False,False,False,,,False,False
Buffer Auto-Callable Contingent Yield Uncapped Growth Note,GROWTH,NOTE,CONTINGENT,True,True,False,AUTO_CALLABLE,True,False,False,True,False,False,False,False,False,False,BUFFER,False,False,False,,,False,False
Issuer-Callable Fixed to Leveraged Capped Floating Yield Note,PROTECTION,NOTE,FLOATING,False,True,False,ISSUER_CALLABLE,False,False,False,False,False,False,False,False,False,False,FULL,False,False,False,,,False,False
