NAME,PRODUCT_SUB_TYPE,WRAPPER_GROUP,COUPON_TYPE,HAS_COUPON_BARRIER,HAS_COUPON,HAS_COUPON_MEMORY,CALL_TYPE,HAS_CALL_PREMIUM,HAS_STEP_UP_AUTO_CALL_HURDLE,HAS_STEP_DOWN_AUTO_CALL_HURDLE,HAS_UPSIDE_PARTICIPATION,HAS_MAXIMUM_RETURN,HAS_DIGITAL_RETURN,HAS_UPSIDE_ABOVE_DIGITAL_RETURN,HAS_UPSIDE_KNOCKOUT,HAS_ABSOLUTE_RETURN,HAS_GEARED_DOWNSIDE,DOWNSIDE_PROTECTION_TYPE,HAS_BEARISH,HAS_RAINBOW,HAS_LOOK_BACK,HAS_REBATE,MULTIPLE_FINAL_VALUATION_DATES_STYLE,HAS_FIXED_TO_FLOAT_TERMS,HAS_ONE_STAR
Floor Issuer-Callable Contingent Yield CD,PROTECTION,CD,CONTINGENT,True,True,False,ISSUER_CALLABLE,False,False,False,False,False,False,False,False,False,False,FLOOR,False,False,False,False,,False,False
Barrier Issuer-Callable Uncapped Growth Note,GROWTH,NOTE,,False,False,False,ISSUER_CALLABLE,True,False,False,True,False,False,False,False,False,False,BARRIER,False,False,False,False,,False,False
Buffer Capped Fixed Yield Note,YIELD,NOTE,FIXED,False,True,False,,False,False,False,True,True,False,False,False,False,False,BUFFER,False,False,False,False,,False,False
Floor Average Uncapped Growth CD,PROTECTION,CD,,False,False,False,,False,False,False,True,False,False,False,False,False,False,FLOOR,False,False,False,False,AVERAGING,False,False
Barrier Auto-Callable Step-Down One-Star Note,GROWTH,NOTE,,False,False,False,AUTO_WITH_STEP,True,False,True,False,False,False,False,False,False,False,BARRIER,False,False,False,False,,False,True
Barrier One Star Auto-Callable Fixed Yield Note,YIELD,NOTE,FIXED,False,True,False,AUTO_CALLABLE,False,False,False,False,False,False,False,False,False,False,BARRIER,False,False,False,False,,False,True
Barrier One-Star Issuer-Callable Contingent Yield Note,YIELD,NOTE,CONTINGENT,True,True,False,ISSUER_CALLABLE,False,False,False,False,False,False,False,False,False,False,BARRIER,False,False,False,False,,False,True
Barrier One-Star Auto-Callable Memory Yield Note,YIELD,NOTE,CONTINGENT,True,True,True,AUTO_CALLABLE,False,False,False,False,False,False,False,False,False,False,BARRIER,False,False,False,False,,False,True
Barrier One-Star Auto-Callable Contingent Yield Note,YIELD,NOTE,CONTINGENT,True,True,False,AUTO_CALLABLE,False,False,False,False,False,False,False,False,False,False,BARRIER,False,False,False,False,,False,True
Geared Buffer Dual Directional Digital Note,GROWTH,NOTE,,False,False,False,,False,False,False,False,False,True,False,False,True,True,BUFFER,False,False,False,False,,False,False
Barrier Auto-Callable Step-Down Uncapped Growth Note,GROWTH,NOTE,,False,False,False,AUTO_WITH_STEP,True,False,True,True,False,False,False,False,False,False,BARRIER,False,False,False,False,,False,False
Floor Fixed Yield Note,PROTECTION,NOTE,FIXED,False,True,False,,False,False,False,False,False,False,False,False,False,False,FLOOR,False,False,False,False,,False,False
Floor Contingent Yield Note,PROTECTION,NOTE,CONTINGENT,True,True,False,,False,False,False,False,False,False,False,False,False,False,FLOOR,False,False,False,False,,False,False
Barrier Uncapped Growth Allocation Note,GROWTH,NOTE,,False,False,False,,False,False,False,True,False,False,False,False,False,False,BARRIER,False,True,False,False,,False,False
Floor Rebate Note,PROTECTION,NOTE,,False,False,False,,False,False,False,False,False,False,False,False,False,False,FLOOR,False,False,False,True,,False,False
Floor Fixed to Floating Yield Note,PROTECTION,NOTE,FIXED,False,True,False,,False,False,False,False,False,False,False,False,False,False,FLOOR,False,False,False,False,,True,False
Floor Issuer-Callable Fixed to Leveraged Uncapped Floating Yield Note,PROTECTION,NOTE,FLOATING,False,True,False,ISSUER_CALLABLE,False,False,False,False,False,False,False,False,False,False,FLOOR,False,False,False,False,,True,False
Floor Floating Yield Note,PROTECTION,NOTE,FLOATING,False,False,False,,False,False,False,False,False,False,False,False,False,False,FULL,False,False,False,False,,False,False
Floating Yield Note,YIELD,NOTE,FLOATING,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,False,False
Issuer-Callable Floating Yield Note,YIELD,NOTE,FLOATING,False,False,False,ISSUER_CALLABLE,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,,False,False
Buffer Issuer-Callable Uncapped Growth Note,GROWTH,NOTE,,False,False,False,ISSUER_CALLABLE,True,False,False,True,False,False,False,False,False,False,BUFFER,False,False,False,False,,False,False
Buffer High Watermark Capped Growth Note,GROWTH,NOTE,,False,False,False,,False,False,False,True,True,False,False,False,False,False,BUFFER,False,False,False,False,HIGH_WATER_MARK,False,False
Barrier Auto-Callable Digital Uncapped Growth Note,GROWTH,NOTE,,False,False,False,AUTO_CALLABLE,True,False,False,False,False,True,True,False,False,False,BARRIER,False,False,False,False,,False,False
Floor Digital CD,PROTECTION,CD,NONE,False,False,False,,False,False,False,False,False,True,False,False,False,False,FLOOR,False,False,False,False,,False,False
Dual Directional Floor Rebate Note,PROTECTION,NOTE,NONE,False,False,False,NONE,False,False,False,True,False,False,False,True,True,False,FLOOR,False,False,False,True,,False,False
Floor Auto-Callable Step-Up Note,PROTECTION,NOTE,,False,False,False,AUTO_CALLABLE,True,True,False,False,False,True,False,False,False,False,FLOOR,False,False,False,False,,False,False
Barrier Auto-Callable Growth Note,GROWTH,NOTE,NONE,False,False,False,AUTO_CALLABLE,True,False,False,True,False,False,False,False,False,False,BARRIER,False,False,False,False,,False,False
Geared Buffer Fixed Yield Note,YIELD,NOTE,FIXED,False,True,False,,False,False,False,False,False,False,False,False,False,True,BUFFER,False,False,False,False,,False,False
Barrier Issuer-Callable Fixed to Leveraged Capped Floating Yield Note,YIELD,NOTE,FLOATING,True,True,False,ISSUER_CALLABLE,False,False,False,False,False,False,False,False,False,False,BARRIER,False,False,False,,,False,False
Geared Buffer Contingent Yield Note,YIELD,NOTE,CONTINGENT,True,True,False,NONE,False,False,False,False,False,False,False,False,False,True,BUFFER,False,False,False,False,,False,False
Buffer Lookback Uncapped Growth Note,GROWTH,NOTE,,False,False,False,,False,False,False,True,False,False,False,False,False,False,BUFFER,False,False,True,False,,False,False
Floor Fixed Yield Uncapped Growth Note,PROTECTION,NOTE,FIXED,False,True,False,,False,False,False,True,False,False,False,False,False,False,FLOOR,False,False,False,False,,False,False
Barrier Capped Growth Note,GROWTH,NOTE,,False,False,False,,False,False,False,True,True,False,False,False,False,False,BARRIER,False,False,False,False,,False,False
Dual Directional Floor Uncapped Growth Note,PROTECTION,NOTE,NONE,False,False,False,,False,False,False,True,False,False,False,False,True,False,FLOOR,False,False,False,False,,False,False
Issuer-Callable Fixed to Leveraged Capped Floating Yield CD,PROTECTION,CD,FLOATING,False,True,False,ISSUER_CALLABLE,False,False,False,False,False,False,False,False,False,False,FLOOR,False,False,False,,,False,False
Buffer Dual Directional Digital Uncapped Growth Note,GROWTH,NOTE,,False,False,False,,False,False,False,False,False,True,True,False,True,False,BUFFER,False,False,False,False,,False,False
Dual Directional Barrier Auto-Callable Note,GROWTH,NOTE,NONE,False,False,False,AUTO_CALLABLE,True,False,False,False,False,False,False,False,True,False,BARRIER,False,False,False,False,,False,False
Dual Directional Buffer Capped Growth Note,GROWTH,NOTE,NONE,False,False,False,,False,False,False,True,True,False,False,False,True,False,BUFFER,False,False,False,False,,False,False
Floor Auto-Callable Contingent Yield Note,PROTECTION,NOTE,CONTINGENT,True,True,False,AUTO_CALLABLE,False,False,False,False,False,False,False,False,False,False,FLOOR,False,False,False,False,,False,False
Buffer Digital Uncapped Growth Note,GROWTH,NOTE,NONE,False,False,False,,False,False,False,False,False,True,True,False,False,False,BUFFER,False,False,False,False,,False,False
Barrier Memory Yield Note,YIELD,NOTE,CONTINGENT,True,True,True,,False,False,False,False,False,False,False,False,False,False,BARRIER,False,False,False,False,,False,False
Floor Contingent Yield Uncapped Growth CD,PROTECTION,CD,CONTINGENT,True,True,False,,False,False,False,True,False,False,False,False,False,False,FLOOR,False,False,False,False,,False,False
Dual Directional Barrier Auto-Callable Contingent Yield Note,YIELD,NOTE,CONTINGENT,True,True,False,AUTO_CALLABLE,False,False,False,False,False,False,False,False,True,False,BARRIER,False,False,False,False,,False,False
Fixed Yield Reverse Range Accrual Note,YIELD,NOTE,FIXED,False,True,False,,False,False,False,False,False,False,False,False,False,False,BARRIER,False,False,False,False,,False,False
Uncapped Growth Note,GROWTH,NOTE,,False,False,False,,False,False,False,True,False,False,False,False,False,False,FULL,False,False,False,False,,False,False
Geared Buffer Range Accrual Note,YIELD,NOTE,ACCRUAL,True,True,False,,False,False,False,False,False,False,False,False,False,True,BUFFER,False,False,False,False,,False,False
Bearish Floor Capped Growth Note,PROTECTION,NOTE,NONE,False,False,False,NONE,False,False,False,False,True,False,False,False,False,False,FLOOR,True,False,False,False,,False,False
Barrier Auto-Callable Contingent Yield Note,YIELD,NOTE,CONTINGENT,True,True,False,AUTO_CALLABLE,False,False,False,False,False,False,False,False,False,False,BARRIER,False,False,False,False,,False,False
Buffer Issuer-Callable Contingent Yield Note,YIELD,NOTE,CONTINGENT,True,True,False,ISSUER_CALLABLE,False,False,False,False,False,False,False,False,False,False,BUFFER,False,False,False,False,,False,False
Buffer Dual Directional Capped Growth Note,GROWTH,NOTE,,False,False,False,,False,False,False,True,True,False,False,False,True,False,BUFFER,False,False,False,False,,False,False
Dual Directional Geared Buffer Capped Growth Note,GROWTH,NOTE,NONE,False,False,False,,False,False,False,True,True,False,False,False,True,True,BUFFER,False,False,False,False,,False,False
Allocation Auto-Callable Uncapped Growth Note,GROWTH,NOTE,NONE,False,False,False,AUTO_CALLABLE,True,False,False,True,False,False,False,False,False,False,FULL,False,True,False,False,,False,False
Geared Buffer Issuer-Callable Range Accrual Note,YIELD,NOTE,ACCRUAL,True,True,False,ISSUER_CALLABLE,False,False,False,False,False,False,False,False,False,True,BUFFER,False,False,False,False,,False,False
Barrier Digital Growth Note,GROWTH,NOTE,,False,False,False,,False,False,False,False,False,True,False,False,False,False,BARRIER,False,False,False,False,,False,False
Buffer Issuer-Callable Range Accrual Note,YIELD,NOTE,ACCRUAL,True,True,False,ISSUER_CALLABLE,False,False,False,False,False,False,False,False,False,False,BUFFER,False,False,False,False,,False,False
Floor Auto-Callable Capped Growth CD,PROTECTION,CD,NONE,False,False,False,AUTO_CALLABLE,True,False,False,True,True,False,False,False,False,False,FLOOR,False,False,False,False,,False,False
Barrier Auto-Callable Step-Up Contingent Yield Note,YIELD,NOTE,CONTINGENT,True,True,False,AUTO_CALLABLE,False,True,False,False,False,False,False,False,False,False,BARRIER,False,False,False,False,,False,False
Floor Uncapped Growth Note,PROTECTION,NOTE,,False,False,False,,False,False,False,True,False,False,False,False,False,False,FLOOR,False,False,False,False,,False,False
Auto-Callable Uncapped Growth Note,GROWTH,NOTE,NONE,False,False,False,AUTO_CALLABLE,True,False,False,True,False,False,False,False,False,False,FULL,False,False,False,False,,False,False
Auto-Callable Digital Uncapped Growth Note,GROWTH,NOTE,NONE,False,False,False,AUTO_CALLABLE,True,False,False,False,False,True,True,False,False,False,NONE,False,False,False,False,,False,False
Barrier Fixed Yield Note,YIELD,NOTE,FIXED,False,True,False,,False,False,False,False,False,False,False,False,False,False,BARRIER,False,False,False,False,,False,False
Buffer Issuer-Callable Fixed Yield Note,YIELD,NOTE,FIXED,False,True,False,ISSUER_CALLABLE,False,False,False,False,False,False,False,False,False,False,BUFFER,False,False,False,False,,False,False
Barrier Auto-Callable Step-Up Note,GROWTH,NOTE,NONE,False,False,False,AUTO_WITH_STEP,True,True,False,False,False,False,False,False,False,False,BARRIER,False,False,False,False,,False,False
Geared Buffer Digital Uncapped Growth Note,GROWTH,NOTE,NONE,False,False,False,NONE,False,False,False,False,False,True,True,False,False,True,BUFFER,False,False,False,False,,False,False
Floor Bearish Rebate Note,PROTECTION,NOTE,NONE,False,False,False,NONE,False,False,False,False,False,False,False,True,True,False,FLOOR,False,False,False,True,,False,False
Buffer Digital Plus Note,GROWTH,NOTE,,False,False,False,,False,False,False,False,False,True,True,False,False,False,BUFFER,False,False,False,False,,False,False
Buffer High Watermark Uncapped Growth Note,GROWTH,NOTE,,False,False,False,,False,False,False,True,False,False,False,False,False,False,BUFFER,False,False,False,,HIGH_WATER_MARK,False,False
Dual Directional Buffer Digital Growth Note,GROWTH,NOTE,NONE,False,False,False,NONE,False,False,False,False,False,True,False,False,True,False,BUFFER,False,False,False,False,,False,False
Dual Directional Uncapped Growth Note,GROWTH,NOTE,,False,False,False,,False,False,False,True,False,False,False,False,True,False,,False,False,False,,,False,False
Auto-callable Growth Note,GROWTH,NOTE,,False,False,False,AUTO_CALLABLE,True,False,False,True,False,True,True,False,False,False,FULL,False,False,False,False,,False,False
